Tarih,TP FG J011,
2019-01,492.36,
2019-02,497.04,
2019-03,509.94,
2019-04,517.38,
2019-05,510.45,
2019-06,501.00,
2019-07,494.02,
2019-08,489.45,
2019-09,485.14,
2019-10,493.61,
2019-11,494.72,
2019-12,510.17,
2020-01,535.37,
2020-02,548.59,
2020-03,559.40,
2020-04,573.63,
2020-05,574.56,
2020-06,564.56,
2020-07,556.86,
2020-08,556.13,
2020-09,559.43,
2020-10,576.87,
2020-11,602.24,
2020-12,618.29,
2021-01,634.06,
2021-02,651.20,
2021-03,658.96,
2021-04,673.24,
2021-05,674.45,
2021-06,679.72,
2021-07,699.08,
2021-08,721.97,
2021-09,724.36,
2021-10,738.10,
2021-11,767.61,
2021-12,894.57,
2022-01,993.94,
2022-02,"1,078.58",
2022-03,"1,130.68",
2022-04,"1,284.80",
2022-05,"1,302.24",
2022-06,"1,320.75",
2022-07,"1,359.64",
2022-08,"1,366.60",
2022-09,"1,393.47",
2022-10,"1,466.74",
2022-11,"1,550.88",
2022-12,"1,581.46",
2023-01,"1,690.88",
2023-02,"1,818.73",
2023-03,"1,889.31",
2023-04,"1,967.33",
2023-05,"1,980.42",
2023-06,"2,035.39",
2023-07,"2,189.08",
2023-08,"2,372.97",
2023-09,"2,448.59",
2023-10,"2,523.75",
2023-11,"2,594.35",
2023-12,"2,723.09",
2024-01,"2,868.26",
2024-02,"3,110.59",
2024-03,"3,220.40",
2024-04,"3,313.20",
2024-05,"3,364.58",
2024-06,"3,423.68",
2024-07,"3,481.51",
2024-08,"3,425.67",
2024-09,"3,513.74",
2024-10,"3,662.54",
2024-11,"3,861.92",
2024-12,"3,909.87",
,,
,,
Seri Açıklamaları,,
TP.FG.J011,011.GIDA-Düzey,Gözlem Değeri: Orijinal Gözlem
,,
Notlar,,
TP.FG.J011,Uygulama Değişiklik Linki,https://data.tuik.gov.tr/Kategori/GetKategori?p=enflasyon-ve-fiyat-106&dil=1
,Veri Kaynağı,TÜİK
,Veri Yayınlama Takvim Linki,https://www.tuik.gov.tr/Kurumsal/Veri_Takvimi
,Metaveri Linki,https://data.tuik.gov.tr/Kategori/GetKategori?p=enflasyon-ve-fiyat-106&dil=1
,Revizyon Politika Linki,https://data.tuik.gov.tr/Kategori/GetKategori?p=enflasyon-ve-fiyat-106&dil=1
,Etiketler,"Tüketici, Fiyat, Endeksi, TÜFE"
