Tarih,TP DK USD A YTL,
01-01-2019,,
02-01-2019,5.28,
03-01-2019,5.33,
04-01-2019,5.46,
05-01-2019,,
06-01-2019,,
07-01-2019,5.41,
08-01-2019,5.36,
09-01-2019,5.43,
10-01-2019,5.50,
11-01-2019,5.46,
12-01-2019,,
13-01-2019,,
14-01-2019,5.42,
15-01-2019,5.51,
16-01-2019,5.44,
17-01-2019,5.40,
18-01-2019,5.36,
19-01-2019,,
20-01-2019,,
21-01-2019,5.34,
22-01-2019,5.34,
23-01-2019,5.35,
24-01-2019,5.31,
25-01-2019,5.27,
26-01-2019,,
27-01-2019,,
28-01-2019,5.26,
29-01-2019,5.28,
30-01-2019,5.33,
31-01-2019,5.28,
01-02-2019,5.21,
02-02-2019,,
03-02-2019,,
04-02-2019,5.19,
05-02-2019,5.22,
06-02-2019,5.20,
07-02-2019,5.21,
08-02-2019,5.24,
09-02-2019,,
10-02-2019,,
11-02-2019,5.24,
12-02-2019,5.26,
13-02-2019,5.26,
14-02-2019,5.24,
15-02-2019,5.29,
16-02-2019,,
17-02-2019,,
18-02-2019,5.26,
19-02-2019,5.29,
20-02-2019,5.31,
21-02-2019,5.30,
22-02-2019,5.31,
23-02-2019,,
24-02-2019,,
25-02-2019,5.32,
26-02-2019,5.31,
27-02-2019,5.29,
28-02-2019,5.29,
01-03-2019,5.32,
02-03-2019,,
03-03-2019,,
04-03-2019,5.34,
05-03-2019,5.38,
06-03-2019,5.37,
07-03-2019,5.38,
08-03-2019,5.43,
09-03-2019,,
10-03-2019,,
11-03-2019,5.45,
12-03-2019,5.43,
13-03-2019,5.44,
14-03-2019,5.45,
15-03-2019,5.46,
16-03-2019,,
17-03-2019,,
18-03-2019,5.46,
19-03-2019,5.45,
20-03-2019,5.46,
21-03-2019,5.47,
22-03-2019,5.44,
23-03-2019,,
24-03-2019,,
25-03-2019,5.53,
26-03-2019,5.65,
27-03-2019,5.49,
28-03-2019,5.33,
29-03-2019,5.54,
30-03-2019,,
31-03-2019,,
01-04-2019,5.63,
02-04-2019,5.60,
03-04-2019,5.56,
04-04-2019,5.61,
05-04-2019,5.63,
06-04-2019,,
07-04-2019,,
08-04-2019,5.59,
09-04-2019,5.67,
10-04-2019,5.66,
11-04-2019,5.67,
12-04-2019,5.71,
13-04-2019,,
14-04-2019,,
15-04-2019,5.78,
16-04-2019,5.79,
17-04-2019,5.79,
18-04-2019,5.74,
19-04-2019,5.81,
20-04-2019,,
21-04-2019,,
22-04-2019,5.79,
23-04-2019,,
24-04-2019,5.83,
25-04-2019,5.86,
26-04-2019,5.89,
27-04-2019,,
28-04-2019,,
29-04-2019,5.92,
30-04-2019,5.93,
01-05-2019,,
02-05-2019,5.96,
03-05-2019,5.96,
04-05-2019,,
05-05-2019,,
06-05-2019,5.96,
07-05-2019,5.99,
08-05-2019,6.15,
09-05-2019,6.16,
10-05-2019,6.20,
11-05-2019,,
12-05-2019,,
13-05-2019,6.11,
14-05-2019,6.08,
15-05-2019,6.04,
16-05-2019,6.05,
17-05-2019,6.00,
18-05-2019,,
19-05-2019,,
20-05-2019,6.05,
21-05-2019,6.04,
22-05-2019,6.04,
23-05-2019,6.08,
24-05-2019,6.13,
25-05-2019,,
26-05-2019,,
27-05-2019,6.07,
28-05-2019,6.05,
29-05-2019,6.04,
30-05-2019,6.02,
31-05-2019,5.92,
01-06-2019,,
02-06-2019,,
03-06-2019,5.86,
04-06-2019,,
05-06-2019,,
06-06-2019,,
07-06-2019,5.86,
08-06-2019,,
09-06-2019,,
10-06-2019,5.84,
11-06-2019,5.81,
12-06-2019,5.78,
13-06-2019,5.80,
14-06-2019,5.83,
15-06-2019,,
16-06-2019,,
17-06-2019,5.88,
18-06-2019,5.87,
19-06-2019,5.84,
20-06-2019,5.85,
21-06-2019,5.73,
22-06-2019,,
23-06-2019,,
24-06-2019,5.79,
25-06-2019,5.74,
26-06-2019,5.79,
27-06-2019,5.76,
28-06-2019,5.77,
29-06-2019,,
30-06-2019,,
01-07-2019,5.76,
02-07-2019,5.68,
03-07-2019,5.67,
04-07-2019,5.63,
05-07-2019,5.59,
06-07-2019,,
07-07-2019,,
08-07-2019,5.60,
09-07-2019,5.72,
10-07-2019,5.71,
11-07-2019,5.74,
12-07-2019,5.67,
13-07-2019,,
14-07-2019,,
15-07-2019,,
16-07-2019,5.69,
17-07-2019,5.70,
18-07-2019,5.69,
19-07-2019,5.69,
20-07-2019,,
21-07-2019,,
22-07-2019,5.63,
23-07-2019,5.67,
24-07-2019,5.68,
25-07-2019,5.71,
26-07-2019,5.70,
27-07-2019,,
28-07-2019,,
29-07-2019,5.66,
30-07-2019,5.63,
31-07-2019,5.57,
01-08-2019,5.52,
02-08-2019,5.58,
03-08-2019,,
04-08-2019,,
05-08-2019,5.58,
06-08-2019,5.56,
07-08-2019,5.53,
08-08-2019,5.49,
09-08-2019,5.47,
10-08-2019,,
11-08-2019,,
12-08-2019,,
13-08-2019,,
14-08-2019,,
15-08-2019,5.48,
16-08-2019,5.57,
17-08-2019,,
18-08-2019,,
19-08-2019,5.54,
20-08-2019,5.58,
21-08-2019,5.70,
22-08-2019,5.71,
23-08-2019,5.75,
24-08-2019,,
25-08-2019,,
26-08-2019,5.75,
27-08-2019,5.80,
28-08-2019,5.83,
29-08-2019,5.80,
30-08-2019,,
31-08-2019,,
01-09-2019,,
02-09-2019,5.81,
03-09-2019,5.80,
04-09-2019,5.77,
05-09-2019,5.67,
06-09-2019,5.67,
07-09-2019,,
08-09-2019,,
09-09-2019,5.69,
10-09-2019,5.72,
11-09-2019,5.76,
12-09-2019,5.77,
13-09-2019,5.73,
14-09-2019,,
15-09-2019,,
16-09-2019,5.67,
17-09-2019,5.71,
18-09-2019,5.72,
19-09-2019,5.68,
20-09-2019,5.69,
21-09-2019,,
22-09-2019,,
23-09-2019,5.69,
24-09-2019,5.72,
25-09-2019,5.67,
26-09-2019,5.69,
27-09-2019,5.67,
28-09-2019,,
29-09-2019,,
30-09-2019,5.66,
01-10-2019,5.64,
02-10-2019,5.68,
03-10-2019,5.73,
04-10-2019,5.69,
05-10-2019,,
06-10-2019,,
07-10-2019,5.69,
08-10-2019,5.73,
09-10-2019,5.82,
10-10-2019,5.83,
11-10-2019,5.87,
12-10-2019,,
13-10-2019,,
14-10-2019,5.84,
15-10-2019,5.91,
16-10-2019,5.89,
17-10-2019,5.89,
18-10-2019,5.88,
19-10-2019,,
20-10-2019,,
21-10-2019,5.77,
22-10-2019,5.81,
23-10-2019,5.83,
24-10-2019,5.77,
25-10-2019,5.74,
26-10-2019,,
27-10-2019,,
28-10-2019,5.76,
29-10-2019,,
30-10-2019,5.76,
31-10-2019,5.74,
01-11-2019,5.71,
02-11-2019,,
03-11-2019,,
04-11-2019,5.72,
05-11-2019,5.68,
06-11-2019,5.73,
07-11-2019,5.75,
08-11-2019,5.74,
09-11-2019,,
10-11-2019,,
11-11-2019,5.74,
12-11-2019,5.77,
13-11-2019,5.77,
14-11-2019,5.76,
15-11-2019,5.76,
16-11-2019,,
17-11-2019,,
18-11-2019,5.75,
19-11-2019,5.73,
20-11-2019,5.72,
21-11-2019,5.70,
22-11-2019,5.69,
23-11-2019,,
24-11-2019,,
25-11-2019,5.69,
26-11-2019,5.72,
27-11-2019,5.74,
